,title,price,description,feature,brand,price_sgd,screen_size_inches,resolution,smart_tv,weight_kg,height_cm,width_cm,depth_cm,refresh_rate_hz,hdmi_ports,usb_ports,operating_system,energy_efficiency_class,sound_output_w
52,"Sony X85J TV: 4K Ultra HD LED Smart Google TV with Native 120HZ Refresh Rate, Dolby Vision HDR, and Alexa Compatibility X85J- 2021 Model (55inch)","S$1,249.00","Screen size; 55 Inches; Brand; Sony; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; LED; Resolution; 4K; Refresh rate; 120; Special features; Flat; Model name; X85J; Included components; Stand, TV; Connectivity technology; Bluetooth, Wi-Fi, Ethernet","About this item; Sony X85J TV: 4K Ultra HD LED Smart Google TV with Native 120HZ Refresh Rate, Dolby Vision HDR, and Alexa Compatibility X85J- 2021 Model (55inch); Sony",Sony,1249.0,55.0,4K,Yes,,,,,120.0,,,Android TV,Not specified,
53,Philips 24PHT5565 Slim LED TV with Pixel Plus HD,S$232.88,"Screen size; 24 Inches; Brand; Philips; Display technology; LED; Product dimensions; 6.8D x 55.6W x 36.7H centimetres; Resolution; 1366; Refresh rate; 60 Hz; Special features; Auto Volume Leveler; Model name; Slim LED EV with Pixel Plus HD; Included components; Remote COntrol, 2xAAA Batteries, Table top stand, Quick start guide, Legal and safety brochure, User Manual; See more; Connectivity technology; HDMI","About this item; Philips 24PHT5565 Slim LED 24'' TV with Pixel Plus HD; A clear, vivid picture every time; Two HDMI inputs and Easylink for intergrated connectivity; 556 x 346.4 x 68mm; Dynamic Bass Enhancement, Incredible Surround, Auto Volume Leveler, Clear Sound",Philips,232.88,24.0,Others,Not specified,,36.7,55.6,6.8,60.0,,,Not specified,Not specified,
54,"LG 55UQ7550 - 55 inches UHD 4K SMART TV, 2022 model, α5 AI processor Gen5, with Magic Remote and Google Assistant/THINQ AI/Apple Airplay2",S$949.00,"Screen size; 55 Inches; Brand; LG; Supported Internet services; Disney Plus, Netflix, Prime Video, YouTube, Browser; Display technology; LED; Product dimensions; 23.5D x 124.4W x 78.3H centimetres; Resolution; 4K; Refresh rate; 60 Hz; Special features; Flat, Miracast, Browser; Model name; LG; Included components; 1 x Smart TV",About this item; AI processor 5 Gen5 for better viewing experience; Enjoy vivid colors and breathtaking detail in Real 4K; Features a slimmer design and minimal bezel that complement your home interior; Enjoy clarity and precision in every moment; Wireless communication technology: Wi-Fi; Voltage: 100.0 volts; Voltage: 100.0 volts,LG,949.0,55.0,4K,Yes,,78.3,124.4,23.5,60.0,,,Google Assistant/THINQ AI/Apple Airplay2,Not specified,
55,"PRISM+ Q65-QE PRO | 65"" 4K Android TV Upgraded Quantum Edition","S$1,249.00","Screen size; 65 Inches; Brand; Prism+; Supported Internet services; Netflix; Product dimensions; 29D x 145W x 91H centimetres; Resolution; 4K; Special features; Flat; Model name; Q65 QE PRO; Included components; Stand, TV; Connectivity technology; Bluetooth; Mounting type; Table Mount","About this item; First Singaporean Android TV Brand; 65"" 4K Ultra HD Android TV; Google Playstore - over 5,000 apps like Netflix, Youtube, Prime Video, Spotify, Twitch, Plex, and more; Inbuilt Chromecast for you to cast content from your phone, tablet and laptop onto the TV -  supports major apps like Netflix, meWATCH, Youtube, Google Chrome and more; Far Field Voice Control - Control your Android TV using Google Assistant voice commands; 4K UHD Resolution, Quantum IPS Panel, 1.07 Billion Colors, ZeroBezel Form Factor, HDR10 with Dolby Vision, Dolby Audio Surround Sound, DTS TruSurround, Digital Ready TV, Bluetooth 5.0",Others,1249.0,65.0,4K,Yes,,91.0,145.0,29.0,,,,Not specified,Not specified,
56,Samsung Smart TV | Crystal UHD - 4K HDR with Alexa Built-in / 70TU7000 (70 Inch),"S$1,149.00","Screen size; 43 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Hulu, Amazon Instant Video, Browser; Display technology; LED; Resolution; 4K; Special features; Flat; Included components; Stand, TV; Connectivity technology; Bluetooth, Wi-Fi; Mounting type; Table Mount; Item weight; 53.4 Pounds","About this item; Brand New, Samsung Export Set; Experience crystal clear colors that are fine-tuned to deliver a naturally crisp and vivid picture; Unveils shades of color you can't find on HDTV; TV Dimensions: With stand – 48.4"" W x 30.6"" H x 9.8"" D | W/O stand – 48.4"" W x 27.8"" H x 2.4"" D | Weight – 30.6 lbs. | Motion rate – MR120 | Resolution – 3,840 x 2,160 | WiFi & Bluetooth enabled; Go beyond Smart TV with next-gen apps, super easy control, and a host of enhancements that elevate the TV watching experience",Samsung,1149.0,70.0,4K,Yes,24.2,78.2,122.9,6.1,120.0,,,Tizen,Not specified,
57,Hisense E7H 75 Inch Smart Google Tv Dolby Vision Dolby Atmos Memc Hdr 10 Vrr + Allm Dual Wifi 2.4/5G Bluetooth 5.1 Hdmi (Earc),"S$1,599.00","Screen size; 75 Inches; Brand; Hisense; Supported Internet services; Netflix; Special features; Flat; Included components; TV, TV Stand, Remote Control, Battery AAA x 2, User Manual, Quick Setup Guide, Power Cord; Connectivity technology; Bluetooth, Wi-Fi; Mounting type; Table Mount; Item weight; 26 Kilograms; Audio output mode; Surround; Audio input; HDMI","About this item; Google TV - With Youtube, Netflix, Disney+ and 5000 more apps available in the Google Play store; Google Assistant - Voice control your TV & smart home devices; Chromecast built in - Can cast your phone or other smart devices' screen to TV; Dolby Vision & Atmos - Experience the most realistic holographic ""surround"" impact; AirPlay 2 & HomeKit - Wireless stream content or control from your Apple device to the TV",Others,1599.0,75.0,Not specified,Yes,26.0,,,,,,,Android TV,Not specified,
58,Sony 4K Ultra HD TV X90K Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation® 5 2022 Model (85inch),"S$4,199.00","Screen size; 85 Inches; Brand; Sony; Supported Internet services; Google TV, BRAVIA; Display technology; LED; Product dimensions; 23D x 140W x 110H centimetres; Resolution; 4K; Special features; Flat; Model name; BRAVIA XR; Included components; Stand, TV; Aspect ratio; 16:9",About this item; Sony 4K Ultra HD TV X90K Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation 5 2022 Model (85inch); Sony,Sony,4199.0,85.0,4K,Yes,,110.0,140.0,23.0,,,,Android TV,Not specified,
59,"Samsung QA55Q60BAKXXS QLED 4K Smart TV, 55-inch, 4 Ticks","S$1,099.00","Screen size; 55 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; QLED; Resolution; 4K; Special features; Flat; Model name; QA55Q60BAKXXS; Included components; Stand, TV; Connectivity technology; Wi-Fi; Mounting type; Table Mount","About this item; 100% Color Volume with Quantum Dot; Quantum HDR; Sound Output (RMS): 20W; Tizen Operating System; Connectivity: HDMI x3, USB x2, Ethernet (LAN), Digital Audio Out (Optical), eARC (HDMI 2), HDMI Quick Switch; WiFi5, Bluetooth BT5.2; Set Weight with Stand: 15.5 kg; VESA Spec: 200 x 200 mm; Set Size with Stand (WxHxD):1232.1 x 773.8 x 249.1 mm; Set Size without Stand (WxHxD): 1232.1 x 708.3 x 25.7 mm; Show More",Samsung,1099.0,55.0,4K,Yes,15.5,77.38,123.21,24.91,,3.0,2.0,Tizen,Not specified,20.0
60,"Samsung UA50AU8000KXXS 50-inch 4K Smart TV, 4 Ticks",S$740.00,"Screen size; 50 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Resolution; 4K; Special features; Flat; Model name; UA50AU8000KXXS; Included components; Stand, TV; Mounting type; Table Mount","About this item; UA50AU8000KXXS 50-inch 4K Smart TV, 4 Ticks; Samsung",Samsung,740.0,50.0,4K,Yes,,,,,,,,Not specified,Not specified,
61,"LG OLED55C1PTB.ATC C1 OLED 4K Smart TV, 55"",Black","S$1,799.00","Screen size; 55 Inches; Brand; LG; Supported Internet services; Netflix; Display technology; OLED; Product dimensions; 25.1D x 122.8W x 73.8H centimetres; Resolution; 4K; Refresh rate; 240; Special features; Real 4K Resolution, Sports Alert, Filmmaker Mode; Model name; LG; Included components; 1 x Smart LED TV, Remote MR21, Batteries (AA x 2EA), Component / AV Gender, Power Cable",About this item; 100 million reasons to love OLED; OLED puts LED in the shade; Get the full range of enjoyment with HDR 10 Pro; OLED passes with flying colors; Designed to stand out,LG,1799.0,55.0,4K,Yes,,73.8,122.8,25.1,240.0,,,Not specified,Not specified,
62,"Govee Envisual TV LED Backlights with Camera, RGBIC Wi-Fi LED Strip Lights for 55-65 inch TVs PC, Works with Alexa & Google Assistant, App Control, Music Sync TV Lights, Adapter, H6199 DreamView T1",S$129.99,Colour; Multicolor; Brand; Govee; Special features; Timer; Power source; Corded Electric; Theme; Movie; Style; Modern; Controller type; Voice Control; Connectivity protocol; Wi-Fi; Connectivity technology; Wi-Fi; Voltage; 12 Volts,"About this item; DreamView Experience: Our 1080p intelligent camera captures the color onscreen and automatically applies to your TV LED light strip. Higher resolution with more accurate color recognition. ( Notice: The camera is only used to capture the color onscreen, it cannot be used for projection or audio.); Smart Voice Control: Manage your TV LED backlights for TV with simple voice commands, via Alexa and Google Assistant, or with the Govee Home app. Enjoy access to more colors and features like Timer, Video, DIY and Music mode, helping you create the ambiance you need.; Dynamic Light Effects: Govee RGBIC technology allows you to customize each TV LED strip lights segment and display multiple colors simultaneously. With 99+ scene modes and 2 video modes, your gaming & viewing experience will never be the same. You can also save other people's DIY Styles from the Govee Light Studio.; Enhanced Music Mode: The control box of the LED light strip for TV is equipped with a built-in mic, helping you sync them to music. Choose from 4 modes (Energic, Rhythm, Spectrum, Rolling) and jazz up your parties with vibrantly dancing colors.; Install with Ease: The camera can be attached to the center top of your TV. With clips and adhesives, the 3.8M TV led light strip made up of 4 pieces can be installed firmly on all 4 sides of any 55-65 in TV. Each side is connected via a flexible cable.",Others,129.99,,1080p,Not specified,,,,,,,,Not specified,Not specified,
63,"Samsung QA65LS03BAKXXS 'The Frame Art Mode' 4K QLED Smart TV, 65-inch, 3 Ticks","S$2,499.00","Screen size; 65 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; QLED; Resolution; 4K; Special features; Flat; Model name; QA65LS03BAKXXS; Included components; Stand, TV; Connectivity technology; Wi-Fi; Mounting type; Table Mount","About this item; Matte Display; Art Mode; Q-Symphony; Tizen Operating System; Connectivity: HDMI x4, USB x2, Ethernet (LAN), Digital Audio Out (Optical), eARC (HDMI 3), HDMI Quick Switch; WiFi5, Bluetooth BT5.2; Set Weight without Stand: 22.8 kg; VESA Spec: 400 x 300 mm; Set Size with Stand (WxHxD): 1456.8 x 868.9 x 260.9 mm; Set Size without Stand (WxHxD): 1456.8 x 831.9 x 24.9 mm; Show More",Samsung,2499.0,65.0,4K,Yes,22.8,86.89,145.68,26.09,,4.0,2.0,Tizen,Not specified,
64,Sony 4K Ultra HD TV X85K Series: LED Smart Google TV with Dolby Vision HDR and Native 120HZ Refresh Rate 85X85K 75X85K 65X85K 55X85K 50X85K (43inch),S$999.00,"Screen size; 43 Inches; Brand; Sony; Supported Internet services; Google TV; Display technology; LED; Product dimensions; 32D x 170W x 100H centimetres; Resolution; 4K; Refresh rate; 120; Special features; Flat; Model name; X85K Series; Included components; Stand, TV","About this item; INTELLIGENT TV PROCESSING– The 4K HDR Processor X1 delivers a picture that is smooth and clear, full of rich colors and detailed contrast.; INTELLIGENT MOTION HANDLING – See blur-free picture quality in fast-moving sports and action-packed movies with native 120Hz refresh rate and Motionflow XR technology.; WIDE SPECTRUM OF COLORS- Reproduces over a billion accurate colors resulting in picture quality that is natural and precise, and closer than ever to real life, enhanced by TRILUMINOS Pro; PREMIUM SMART TV– Google TV with Google Assistant organizes your favorite content all in one place. Stream from Prime Video, Netflix, Disney+, Apple TV, HBO Max, Peacock and many more. Also, stream from your Apple device with AirPlay 2 support.; ENHANCED ENTERTAINMENT– Experience immersive and engaging cinematic content as the creator intended with support for Dolby Vision & Atmos.; WORKS WITH ALEXA – Through an Alexa enabled device, ask Alexa to change channels, adjust volume, and turn your TV on/off.; ENHANCED GAMING PICTURE QUALITY– Enhance your gaming experience with exclusive features for the PlayStation 5 to improve gaming picture quality.; FEATURES SPECIFIED IN HDMI 2.1 – Get the advantage in high-performance gaming with HDMI 2.1 features such as 4K/120,4 VRR, and ALLM.; UPSCALE ALL YOUR CONTENT– Bring back lost texture and detail and see all your content upscaled to near-4K resolution with 4K XR-Reality PRO.; FLUSH SURFACE DESIGN– Your eyes naturally focus on the immersive big picture with a flush surface narrow bezel design; Wireless Communication Technology: Wi-Fi; Show More",Sony,999.0,43.0,4K,Google TV,,100.0,170.0,32.0,120.0,,,Android TV,Not specified,
65,"24 Inch Computer Curved Screen Full HD 1080P HDR 178° Full viewing Smart Connect with TV Box, Computer Host, PS4, Switch, Laptop by VGA or HDMI",S$199.04,"Screen size; 24 Inches; Brand; Meega; Special features; Curved; Refresh rate; 75 Hz; Connectivity technology; VGA, USB, DVI, HDMI; Resolution; FHD 1080p; Total HDMI ports; 1; Display technology; LCD; Mounting type; Wall Mount; Item weight; 5.5 Kilograms","About this item; 💻Multi-device Compatible: This Computer screen has VGA , DVI, USB and HDMI input ports, it is compatible with multiple devices: laptops, computer host, Xbox One, PS3, PS4, Nintendo Switch, TV box etc.; 💻HDR skill : HDR effects can take you into a real world. HDR technology increases the overall dynamic range between black and white, so that the bright part is not exposed and the dark part is not dim。; 💻Fast : 75Hz refresh rate combined with 2ms response time makes the transition between pictures more delicate and can see more details of action.; 💻178° Full viewing : The color is bright, when you look at the screen from the front and side, the color is the same full; 💻The Full screen design allows the view to break through the boundary constraints, expand the display area, and bring more immersive visual experience. This is to make the width of the three sides of the screen only 2mm.",Others,199.04,24.0,1080p,No,5.5,,,,75.0,1.0,,Not specified,Not specified,
66,Sony X90J TV BRAVIA XR Full Array LED 4K Ultra HD Smart Google TV with Dolby Vision HDR and Alexa Compatibility (65),"S$1,949.00","Screen size; 65 Inches; Brand; Sony; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; LED; Resolution; 4K; Special features; Flat; Model name; BRAVIA XR; Included components; Stand, TV; Mounting type; Table Mount; Model year; 2021",About this item; Sony X90J TV BRAVIA XR Full Array LED 4K Ultra HD Smart Google TV with Dolby Vision HDR and Alexa Compatibility (65); Sony,Sony,1949.0,65.0,4K,Yes,,,,,,,,Not specified,Not specified,
67,"VIVO Black Adjustable Streaming Media Player, Wall Mounting Bracket Designed for Nintendo Switch, Apple TV, Roku, Fire TV, Hardware Included, MOUNT-ALL02",S$21.99,"Brand; VIVO; Colour; Black; Compatible devices; nintendo switch; Mounting type; Wall Mount; Special features; Lightweight, Adjustable; Material; Alloy Steel; Item dimensions LxWxH; 48 x 127 x 127 millimetres","About this item; Solid Steel Construction ensures excellent support for your Nintendo Switch, and a light-weight design makes the mounting process fast and easy. The Switch Dock easily slides into the mount for a secure fit.; Adjustable Width of 1.9” to 3” provides a customizable option that allows you to find the ideal mounting setup for your entertainment center or home theater system.; Open Frame Design of this sleek, low-profile mount complements the appearance of the Nintendo Switch, and provides optimal cooling and airflow that can extend the product life of your gaming system.; Save Space on your shelf and maintain a clean and organized appearance by getting your Nintendo Switch secured and out of harm's way.; Easy Assembly is ensured with all the necessary hardware and instructions provided to get your Nintendo Switch up and mounted in no time!",Others,21.99,,Not specified,Not specified,,1.27,12.7,12.7,,,,Not specified,Not specified,
68,"Sharp 2T-C42BG1X Full HD LED Easy Smart TV, 42""",S$469.00,"Screen size; 42 Inches; Brand; Sharp; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; LED; Product dimensions; 3.2D x 37.6W x 22.4H centimetres; Resolution; 4K; Refresh rate; 240 Hz; Special features; Flat; Model name; 2T C42BG1X; Included components; 1 x TV, 1 x Power Cable, 1 x Remote Control, 1 x Stand","About this item; Enjoy plenty of apps including videos, news and games; X2 Master engine, aquos original processor enhances the quality of experience; Sound reflector, unique TV design which pushed the sound pressure towards user; X2 master engine - aquos original processor enhances the quality of experience.",Others,469.0,42.0,4K,Yes,,22.4,37.6,3.2,240.0,,,Not specified,Not specified,
69,Xiaomi TV Stick 4K,S$74.90,Brand; Xiaomi; Connectivity technology; Bluetooth; Special features; Chromecast; Resolution; 4k; Supported Internet services; Google Assistant; Controller type; Remote Control; Form factor; TV Stick; Colour; Black; Model name; Xiaomi; Item weight; 29 Grams,About this item; Portable 4K Streaming Media; Dolby Atmos and Dolby Vision supported; Built-in Google Assistant; Surround sound for superior audio experience; Quad-core processor with high performance GPU,Others,74.9,,4K,Not specified,0.029,,,,,,,Not specified,Not specified,
70,"LG 65NANO75TPA 65-inch 4K NanoCell Smart TV, 4 Ticks","S$1,225.00","Screen size; 65 Inches; Brand; LG; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; LED; Product dimensions; 27.1D x 145.4W x 90H centimetres; Resolution; 4K; Special features; Flat; Model name; 65NANO75TPA; Included components; Stand, TV, Remote; Connectivity technology; Bluetooth","About this item; Pure Colors, Quad Core Processor 4K, FILMMAKER MODE, HDR 10 Pro & LG Pro, Sport Alert; Operating System (OS): webOS Smart TV; HDMI 2.0: 1 (Rear)/2 (Side) / Bluetooth V5.0 / USB: 1 (Rear)/1 (Side); Accessories: MR21 Remote, Batteries and Power Cable; Size with Stand (WxHxD): 1454 x 900 x 271mm, VESA Size (HxV): 300 x 300mm",LG,1225.0,65.0,4K,Yes,,90.0,145.4,27.1,,3.0,2.0,webOS,Not specified,
71,"LG 55NANO75TPA.ATC NanoCell LED 4K Smart TV, 55"",Black","S$1,049.00","Screen size; 55 Inches; Brand; LG; Supported Internet services; Netflix; Display technology; LED; Product dimensions; 23.2D x 123.5W x 77.4H centimetres; Resolution; 4K; Refresh rate; 240; Special features; Google Assistant, Ultra Surround Sound, Web Browser; Model name; LG; Included components; 1 x Smart LED TV, Remote MR21, Batteries (AA x 2EA), Power Cable","About this item; Pure colors are stunning in NanoCell TV's Real 4K; Quad core processor 4K; Filmmaker mode turns off motion smoothing while preserving the original aspect ratios, colors, and frame rates; Game optimizer automatically adjusts picture settings; Get the full range of enjoyment with HDR 10 Pro technology",LG,1049.0,55.0,4K,Yes,,77.4,123.5,23.2,240.0,,,Others,Not specified,
72,"Samsung QA43LS01BAKXXS 'The Serif' 4K QLED Smart TV (2022), 43-inch, 3 Ticks","S$1,499.00","Screen size; 43 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; QLED; Resolution; 4K; Refresh rate; 120; Special features; Flat; Model name; The Serif; Included components; Stand, TV; Connectivity technology; Bluetooth, HDMI","About this item; Matte Display; Detachable Stand; Ambient Mode; Tizen Operating System; Connectivity: HDMI x4, USB x2, HDMI: 4K 120Hz, Digital Audio Out (Optical), eARC (HDMI3); WiFi5, Bluetooth BT5.2; Set Weight with Stand: 17.6 kg; Stand (Basic) (WxD): 895.5 x 417.2 mm; Set Size with Stand (WxHxD): 986.3 x 1028.4 x 417.2 mm; Set Size without Stand (WxHxD): 986.3 x 597.3 x 197.0 mm; Show More",Samsung,1499.0,43.0,4K,Yes,17.6,102.8,98.63,41.72,120.0,4.0,2.0,Tizen,3 Ticks,
73,"ULTi Desk Converter Riser, Standing Desk, Height Adjustable, Sit-Stand w Monitor & Laptop, Keyboard Tray & Tablet Holder",S$129.99,Material; Engineered Wood; Brand; ULTi; Base type; Leg; Number of levels; 1,"About this item; Crafted from MDF wood as opposed to particle board wood; Made to be more durable; MDF gives the desk a more solid, smooth and premium feel; Place on your existing desk, attach the keyboard tray, and start organising your workstation; Lift design elevates straight upwards; 58201458935",Others,129.99,,Not specified,Not specified,,,,,,,,Not specified,Not specified,
74,"Samsung QA55LS01BAKXXS 'The Serif' 4K QLED Smart TV (2022), 55-inch, 3 Ticks","S$2,199.00","Screen size; 55 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; QLED; Resolution; 4K; Refresh rate; 120; Special features; Flat; Included components; Stand, TV; Connectivity technology; Bluetooth, USB, HDMI; Mounting type; Wall Mount","About this item; Matte Display; Detachable Stand; Ambient Mode; Tizen Operating System; Connectivity: HDMI x4, USB x2, HDMI: 4K 120Hz, Digital Audio Out (Optical), eARC (HDMI3); WiFi5, Bluetooth BT5.2; Set Weight with Stand: 27.6 kg; Stand (Basic) (WxD): 1051.0 x 482.8 mm; Set Size with Stand (WxHxD): 1254.9 x 1237.4 x 482.8 mm; Set Size without Stand (WxHxD): 1254.9 x 748.3 x 221 mm; Show More",Samsung,2199.0,55.0,4K,Yes,27.6,123.74,125.49,48.28,120.0,4.0,2.0,Tizen,3 Ticks,
75,Sony 4K Ultra HD TV X90K Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation® 5 2022 Model (55inch),"S$1,599.00","Screen size; 55 Inches; Brand; Sony; Supported Internet services; Google TV, BRAVIA; Display technology; LED; Product dimensions; 23D x 140W x 110H centimetres; Resolution; 4K; Refresh rate; 120; Special features; Flat; Model name; BRAVIA XR; Included components; Stand, TV","About this item; HANDPICKED BY AMAZON: They did the research so you don’t have toImage Aspect ratio:16:9; FULL ARRAY LED CONTRAST Precisely controlled backlighting delivers deep black, high peak brightness and is further enhanced by XR Contrast Booster 10 for real-life depth and detail; INTELLIGENT TV PROCESSING The Cognitive Processor XR understands how humans see to deliver intense contrast with deep blacks, high peak brightness, and natural colors.; PERFECT FOR PLAYSTATION 5 Take your gaming to the next level with input lag as low as 8.5ms and BRAVIA XR exclusive features for the PlayStation 5 Auto HDR Tone Mapping and Auto Genre Picture Switch.; FEATURES SPECIFIED IN HDMI 2.1 Get the advantage in high-performance gaming on BRAVIA XR Smart TVs with HDMI 2.1 features such as 4K/120, VRR, and ALLM.; WIDE SPECTRUM OF COLORS Rediscover everything you watch with billions of accurate colors and see impressive picture quality that is natural and beautiful, enhanced by XR Triluminos Pro.; PREMIUM SMART TV Google TV with Google Assistant organizes your favorite content all in one place. Stream from Prime Video, Netflix, Disney+, Apple TV, HBO Max, Peacock and many more. Also, stream from your Apple device with AirPlay 2 support.; MOVIES INCLUDED WITH BRAVIA CORE Bring the cinematic experience home. Enjoy streaming 4K UHD quality movies included with the BRAVIA CORE app, exclusively on select Sony Smart TVs.; WORKS WITH ALEXA Through an Alexa enabled device, ask Alexa to change channels, adjust volume, and turn your TV on/off.; ENHANCED ENTERTAINMENT Experience immersive and engaging cinematic content as the creator intended with support for Dolby Vision, IMAX Enhanced, and Netflix Adaptive Calibrated Mode.;Voltage: 240.0 volts;Wireless Communication Technology: Wi-Fi;Wattage: 103.0 watts; Wattage : 103.0 watts; Wattage : 103.0 watts; Show More",Sony,1599.0,55.0,4K,"Google TV, BRAVIA",,110.0,140.0,23.0,120.0,,,Android TV,Not specified,103.0
76,Philips 32 inch Slim LED TV 5600 Series - 32PHT5678/98,S$264.00,"Screen size; 32 Inches; Brand; Philips; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; •Display: LED HD TV •Panel resolution: 1366 x 768 •Aspect ratio: 16:9 •Picture enhancement: Pixel Plus HD, Movie, Natural, Standard, Vivid; See more; Product dimensions; 8.1D x 71.9W x 42.9H centimetres; Resolution; 1360; Refresh rate; 60 Hz; Special features; Flat; Model name; 32PHT5678/98; Included components; Included accessories: Remote Control, 2 x AAA Batteries, Table top stand, Quick start guide, Legal and safety brochure, User Manual, Power cord; See more","About this item; Plug a dongle into one of the TV's HDMI ports; Enjoy smart TV features from your favorite streaming providers; Philips pixel plus HD engine optimizes picture quality to deliver crisp images with beautiful contrast; You will enjoy sharper images with brighter whites and deeper blacks; Love everything you watch, with a Philips Full HD TV",Philips,264.0,32.0,Others,Yes,,42.9,71.9,8.1,60.0,,,Not specified,Not specified,
77,"LG 55UQ8050PSB Smart 4K UHD TV, 55-inch, 4 Ticks, Black","S$1,149.00","Screen size; 55 Inches; Brand; LG; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; LED; Resolution; 4K; Refresh rate; 60 Hz; Special features; Flat; Model name; LG; Included components; 1 x Smart TV; Connectivity technology; HDMI",About this item; Enjoy vivid colors and breathtaking detail in Real 4K; AI processor 5 Gen5 for better viewing experience; Features a slimmer design and minimal bezel that complement your home interior; Enhances the LG UHD TV to provide you with an immersive experience; Enjoy clarity and precision in every moment; Voltage: 100.0 volts,LG,1149.0,55.0,4K,Yes,,,,,60.0,,,Not specified,Not specified,
78,Hisense E7H 55 Inch Smart Google Tv Dolby Vision Dolby Atmos Memc Hdr 10 Vrr + Allm Dual Wifi 2.4/5G Bluetooth 5.1 Hdmi (Earc),S$799.00,"Screen size; 55 Inches; Brand; Hisense; Supported Internet services; Netflix; Special features; Flat; Included components; TV, TV Stand, Remote Control, Battery AAA x 2, User Manual, Quick Setup Guide, Power Cord; Connectivity technology; Bluetooth, Wi-Fi; Mounting type; Table Mount; Item weight; 11.3 Kilograms; Audio output mode; Surround; Audio input; HDMI","About this item; Google TV - With Youtube, Netflix, Disney+ and 5000 more apps available in the Google Play store; Google Assistant - Voice control your TV & smart home devices; Chromecast built in - Can cast your phone or other smart devices' screen to TV; Dolby Vision & Atmos - Experience the most realistic holographic ""surround"" impact; AirPlay 2 & HomeKit - Wireless stream content or control from your Apple device to the TV",Others,799.0,55.0,Not specified,Yes,11.3,,,,,,,Android TV,Not specified,
79,"Samsung QA65Q60AAKXXS 65-inch 4K QLED Smart TV, 4 Ticks","S$1,425.00","Screen size; 65 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; QLED; Resolution; 4K; Special features; Flat; Model name; QA65Q60AAKXXS; Included components; Stand, TV; Mounting type; Table Mount; Audio output mode; Surround","About this item; Samsung QA65Q60AAKXXS 65-inch 4K QLED Smart TV, 4 Ticks; Samsung-3P",Samsung,1425.0,65.0,4K,Yes,,,,,,,,Not specified,Not specified,
80,Hisense E7H 75 Inch Smart Google,"S$1,599.00","Screen size; 75 Inches; Brand; Hisense; Supported Internet services; Netflix; Special features; Flat; Included components; TV, TV Stand, Remote Control, Battery AAA x 2, User Manual, Quick Setup Guide, Power Cord; Connectivity technology; Bluetooth, Wi-Fi; Mounting type; Table Mount; Item weight; 26 Kilograms; Audio output mode; Surround; Audio input; HDMI","About this item; Google TV - With Youtube, Netflix, Disney+ and 5000 more apps available in the Google Play store; Google Assistant - Voice control your TV & smart home devices; Chromecast built in - Can cast your phone or other smart devices' screen to TV; Dolby Vision & Atmos - Experience the most realistic holographic ""surround"" impact; AirPlay 2 & HomeKit - Wireless stream content or control from your Apple device to the TV",Others,1599.0,75.0,Not specified,Yes,26.0,,,,,,,Android TV,Not specified,
81,"Sony BRAVIA 43"" X80K HD LED HDR Smart",S$949.00,"Screen size; 43; Brand; Sony; Supported Internet services; Google TV; Display technology; LED; Resolution; 4K; Refresh rate; 50 Hz; Special features; Flat; Model name; BRAVIA X80K; Included components; AC Power Cord, Batteries, Operating Instructions, Quick Setup Guide, Table Top Stand, Voice Remote Control; See more; Connectivity technology; Wi-Fi, USB, Ethernet, HDMI","About this item; Sony BRAVIA 43' X80K HD LED HDR Smart TV with Google TV and 4K Processor X1, Wi-Fi, USB, Ethernet, HDMI (KD43X80K); Sony",Sony,949.0,43.0,4K,Yes,,,,,50.0,1.0,1.0,Google TV,Not specified,
82,TCL 32ES560 LED,S$490.10,"Screen size; 80 Centimetres; Brand; TCL; Supported Internet services; Google Assistant, Google TV; Display technology; LED; Special features; Chromecast; Model name; 32ES560; Included components; Stand, TV; Connectivity technology; Wi-Fi; Aspect ratio; 16:9; Colour; Black",About this item; HDTV LED TV 80 cm; Pure Image Ultra; Connected: Android TV; Mega Contrast Dynamic,Others,490.1,31.5,Not specified,Yes,,,,,,,,Android TV,Not specified,
